player,role,batting_style,bowling_style,Image,team
Noor Ahmad,Bowler,Right hand Bat,Left arm Wrist spin,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/311200/311270.jpg",Gujarat Titans 
Urvil Patel,Wicketkeeper Batter,Right hand Bat,DNB,https://wassets.hscicdn.com/static/images/player-jersey.svg,Gujarat Titans 
Rashid Khan,Bowling Allrounder,Right hand Bat,Legbreak Googly,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/289200/289234.1.jpg",Gujarat Titans 
Wriddhiman Saha,Wicketkeeper Batter,Right hand Bat,DNB,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/302300/302390.jpg",Gujarat Titans 
Ravisrinivasan Sai Kishore,Bowler,Left hand Bat,Slow Left arm Orthodox,https://wassets.hscicdn.com/static/images/player-jersey.svg,Gujarat Titans 
Sai Sudharsan,Top order Batter,Left hand Bat,Legbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356851.1.png",Gujarat Titans 
Pradeep Sangwan,Bowler,Right hand Bat,Left arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/337400/337448.15.jpg",Gujarat Titans 
Dasun Shanaka,Allrounder,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/327900/327999.7.jpg",Gujarat Titans 
Vijay Shankar,Allrounder,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/289600/289614.1.jpg",Gujarat Titans 
Mohit Sharma,Bowler,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/307400/307489.png",Gujarat Titans 
Shivam Mavi,Bowler,Right hand Bat,Right arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/338100/338173.4.jpg",Gujarat Titans 
Shubman Gill,Opening Batter,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/312100/312153.jpg",Gujarat Titans 
Odean Smith,Bowling Allrounder,Right hand Bat,Right arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/348100/348147.4.jpg",Gujarat Titans 
Rahul Tewatia,Bowling Allrounder,Left hand Bat,Legbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/184200/184293.jpg",Gujarat Titans 
Matthew Wade,Wicketkeeper Batter,Left hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/263500/263523.1.jpg",Gujarat Titans 
Jayant Yadav,Bowler,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356700/356781.1.png",Gujarat Titans 
Yash Dayal,Bowler,Right hand Bat,Left arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357400/357416.2.jpg",Gujarat Titans 
Kane Williamson,Top order Batter,Right hand Bat,DNB,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/303600/303652.png",Gujarat Titans 
Nitish Rana,Middle order Batter,Left hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356700/356782.1.png",Kolkata Knight Riders
Aarya Desai,Opening Batter,Left hand Bat,Right arm Offbreak,https://wassets.hscicdn.com/static/images/player-jersey.svg,Kolkata Knight Riders
Vaibhav Arora,Bowler,Right hand Bat,Right arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357000/357019.1.png",Kolkata Knight Riders
Johnson Charles,Wicketkeeper Batter,Right hand Bat,DNB,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/144900/144991.1.jpg",Kolkata Knight Riders
Lockie Ferguson,Bowler,Right hand Bat,Right arm Fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/303800/303800.png",Kolkata Knight Riders
Harshit Rana,Bowler,Right hand Bat,Right arm Fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357000/357017.1.png",Kolkata Knight Riders
Venkatesh Iyer,Allrounder,Left hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/328700/328712.1.jpg",Kolkata Knight Riders
Narayan Jagadeesan,Opening Batter,Right hand Bat,DNB,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/309100/309103.square.png",Kolkata Knight Riders
Kulwant Khejroliya,Bowler,Left hand Bat,Left arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357000/357018.1.png",Kolkata Knight Riders
Mandeep Singh,Allrounder,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356825.1.png",Kolkata Knight Riders
Sunil Narine,Bowling Allrounder,Left hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/203300/203303.1.jpg",Kolkata Knight Riders
Rahmanullah Gurbaz,Wicketkeeper Batter,Right hand Bat,DNB,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357000/357020.1.png",Kolkata Knight Riders
Jason Roy,Opening Batter,Right hand Bat,DNB,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/303900/303963.jpg",Kolkata Knight Riders
Anukul Roy,Allrounder,Left hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/338100/338166.4.jpg",Kolkata Knight Riders
Andre Russell,Allrounder,Right hand Bat,Right arm Fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/308900/308972.png",Kolkata Knight Riders
Rinku Singh,Middle order Batter,Left hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/338100/338171.4.jpg",Kolkata Knight Riders
Tim Southee,Bowler,Right hand Bat,Right arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/303600/303610.png",Kolkata Knight Riders
Suyash Sharma,Bowler,Right hand Bat,Legbreak Googly,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357000/357016.1.png",Kolkata Knight Riders
Shardul Thakur,Bowler,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/302300/302372.jpg",Kolkata Knight Riders
Varun Chakravarthy,Bowler,Right hand Bat,Legbreak Googly,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/329300/329347.4.jpg",Kolkata Knight Riders
David Wiese,Allrounder,Right hand Bat,Right arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/312100/312185.png",Kolkata Knight Riders
Umesh Yadav,Bowler,Right hand Bat,Right arm Fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/302300/302396.jpg",Kolkata Knight Riders
Shreyas Iyer,Top order Batter,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/309100/309198.1.jpg",Kolkata Knight Riders
Litton Das,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/302900/302995.jpg",Kolkata Knight Riders
Shakib Al Hasan,Allrounder,Left hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/303100/303157.jpg",Kolkata Knight Riders
Krunal Pandya,Allrounder,Left hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/309000/309070.jpg",Lucknow Super Giants
Avesh Khan,Bowler,Right hand Bat,Right arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/200000/200065.1.jpg",Lucknow Super Giants
Ayush Badoni,Batter,Right hand Bat,Right arm Offbreak,https://wassets.hscicdn.com/static/images/player-jersey.svg,Lucknow Super Giants
Quinton de Kock,Wicketkeeper Batter,Left hand Bat,DNB,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/317900/317947.jpg",Lucknow Super Giants
Krishnappa Gowtham,Bowling Allrounder,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356850.1.png",Lucknow Super Giants
Arpit Guleria,Bowler,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/315100/315165.jpg",Lucknow Super Giants
Deepak Hooda,Allrounder,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/343200/343251.4.jpg",Lucknow Super Giants
Prerak Mankad,Allrounder,Right hand Bat,Right arm Medium,https://wassets.hscicdn.com/static/images/player-jersey.svg,Lucknow Super Giants
Kyle Mayers,Batting Allrounder,Left hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/316000/316081.png",Lucknow Super Giants
Amit Mishra,Bowler,Right hand Bat,Legbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/304100/304193.png",Lucknow Super Giants
Mohsin Khan,Bowler,Left hand Bat,Left arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357400/357414.3.jpg",Lucknow Super Giants
Naveen-ul-Haq,Bowler,Right hand Bat,Right arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/303200/303285.jpg",Lucknow Super Giants
Nicholas Pooran,Wicketkeeper Batter,Left hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/302200/302286.jpg",Lucknow Super Giants
Ravi Bishnoi,Bowler,Right hand Bat,Legbreak Googly,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/335000/335051.4.jpg",Lucknow Super Giants
Daniel Sams,Allrounder,Right hand Bat,Left arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/309000/309061.png",Lucknow Super Giants
Karan Sharma,Allrounder,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357400/357412.3.jpg",Lucknow Super Giants
Romario Shepherd,Bowling Allrounder,Right hand Bat,Right arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/322000/322037.png",Lucknow Super Giants
Marcus Stoinis,Batting Allrounder,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/309100/309100.jpg",Lucknow Super Giants
Swapnil Singh,Bowler,Right hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357000/357025.1.png",Lucknow Super Giants
Jaydev Unadkat,Bowler,Right hand Bat,Left arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/302300/302392.jpg",Lucknow Super Giants
Manan Vohra,Opening Batter,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356700/356788.1.png",Lucknow Super Giants
Mark Wood,Bowler,Right hand Bat,Right arm Fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/303900/303977.jpg",Lucknow Super Giants
Yash Thakur,Bowler,Right hand Bat,Right arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356700/356790.1.png",Lucknow Super Giants
Yudhvir Singh,Bowler,Right hand Bat,Right arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/314700/314789.jpg",Lucknow Super Giants
KL Rahul,Wicketkeeper Batter,Right hand Bat,DNB,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/304200/304207.png",Lucknow Super Giants
Mayank Yadav,Bowler,Right hand Bat,Right arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/358700/358724.4.jpg",Lucknow Super Giants
Rohit Sharma,Top order Batter,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/302300/302374.jpg",Mumbai Indians
Arshad Khan,Bowler,Left hand Bat,Left arm Medium,https://wassets.hscicdn.com/static/images/player-jersey.svg,Mumbai Indians
Jason Behrendorff,Bowler,Right hand Bat,Left arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/289900/289948.jpg",Mumbai Indians
Dewald Brevis,Batting Allrounder,Right hand Bat,Legbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/333900/333935.4.jpg",Mumbai Indians
Piyush Chawla,Bowling Allrounder,Left hand Bat,Legbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/304200/304219.png",Mumbai Indians
Tim David,Middle order Batter,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/313600/313639.1.jpg",Mumbai Indians
Raghav Goyal,Bowler,Left hand Bat,Left arm Wrist spin,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357600/357635.4.jpg",Mumbai Indians
